week,year,total_cases,total_cases_adj
0,54,0,59.25
1,54,0,59.25
2,54,0,59.25
3,54,237,59.25
4,54,157,157
5,54,151,151
6,54,133,133
7,54,0,99.4
8,54,0,99.4
9,54,0,99.4
10,54,0,99.4
11,54,497,99.4
12,54,0,39
13,54,78,39
14,54,0,115.5
15,54,231,115.5
16,54,0,77
17,54,154,77
18,54,0,109.5
19,54,219,109.5
20,54,389,389
21,54,-37,253.8
22,54,0,253.8
23,54,0,253.8
24,54,0,253.8
25,54,1269,253.8
26,54,0,348
27,54,1044,348
28,54,-75,348
29,54,416,416
30,54,599,599
31,54,504,504
32,54,0,316.5
33,54,633,316.5
34,54,-105,250
35,54,0,250
36,54,750,250
37,54,-11,134
38,54,268,134
39,54,314,157
40,54,-11,157
41,54,0,199
42,54,597,199
43,54,-30,199
44,54,0,142
45,54,284,142
46,54,-4,240.6666666667
47,54,-5,240.6666666667
48,54,772,240.6666666667
49,54,0,117
50,54,234,117
51,54,492,79
0,55,0,79
1,55,0,79
2,55,78,79
3,55,52,52
4,55,0,60
5,55,120,60
6,55,0,49.6666666667
7,55,0,49.6666666667
8,55,149,49.6666666667
9,55,146,73
10,55,0,73
11,55,111,111
12,55,92,92
13,55,0,42.5
14,55,0,42.5
15,55,0,42.5
16,55,170,42.5
17,55,156,156
18,55,175,87.5
19,55,-2,91
20,55,-185,91
21,55,0,58.5
22,55,117,58.5
23,55,204,204
24,55,275,137.5
25,55,-269,137.5
26,55,165,165
27,55,102,102
28,55,0,134.5
29,55,269,134.5
30,55,190,190
31,55,123,123
32,55,289,144.5
33,55,6,144.5
34,55,482,241
35,55,0,241
36,55,463,231.5
37,55,0,231.5
38,55,517,517
39,55,283,283
40,55,246,246
41,55,237,237
42,55,362,362
43,55,1,500
44,55,1500,500
45,55,-150,500
46,55,530,530
47,55,493,493
48,55,0,478.5
49,55,957,478.5
50,55,536,536
51,55,579,312
0,56,0,178
1,56,90,178
2,56,0,201
3,56,402,201
4,56,0,103
5,56,206,103
6,56,191,191
7,56,-1,346
8,56,1038,346
9,56,0,346
10,56,0,191.3333333333
11,56,0,191.3333333333
12,56,574,191.3333333333
13,56,228,228
14,56,0,129
15,56,258,129
16,56,0,134.875
17,56,0,134.875
18,56,0,134.875
19,56,0,134.875
20,56,0,134.875
21,56,0,134.875
22,56,0,134.875
23,56,1079,134.875
24,56,430,215
25,56,0,215
26,56,0,274.5
27,56,549,274.5
28,56,290,290
29,56,440,440
30,56,418,418
31,56,311,311
32,56,508,508
33,56,0,492
34,56,0,492
35,56,1476,492
36,56,447,447
37,56,678,678
38,56,392,392
39,56,240,240
40,56,285,285
41,56,461,461
42,56,2,317.5
43,56,635,317.5
44,56,332,332
45,56,376,376
46,56,493,493
47,56,284,284
48,56,418,418
49,56,347,347
50,56,270,135
51,56,0,135
0,57,0,49.5
1,57,99,49.5
2,57,0,66.6666666667
3,57,0,66.6666666667
4,57,200,66.6666666667
5,57,185,92.5
6,57,1,92.5
7,57,0,114
8,57,228,114
9,57,0,31.5
10,57,63,31.5
11,57,0,64.5
12,57,129,64.5
13,57,48,48
14,57,36,36
15,57,27,27
16,57,53,53
17,57,1,33.5
18,57,67,33.5
19,57,37,37
20,57,44,44
21,57,46,46
22,57,34,34
23,57,65,65
24,57,25,25
25,57,55,55
26,57,44,44
27,57,69,69
28,57,87,87
29,57,96,96
30,57,86,86
31,57,62,62
32,57,87,87
33,57,84,84
34,57,0,173
35,57,-1,173
36,57,519,173
37,57,-214,146.5
38,57,293,146.5
39,57,195,195
40,57,87,87
41,57,172,172
42,57,-1,125.5
43,57,251,125.5
44,57,97,97
45,57,1,212
46,57,424,212
47,57,147,147
48,57,-1,261
49,57,522,261
50,57,175,275
51,57,0,75
0,58,0,75
1,58,0,75
2,58,0,75
3,58,313,75
4,58,300,150
5,58,-16,150
6,58,116,116
7,58,1,114
8,58,228,114
9,58,88,88
10,58,141,141
11,58,116,116
12,58,86,86
13,58,93,93
14,58,0,84.5
15,58,169,84.5
16,58,132,132
17,58,141,141
18,58,53,53
19,58,209,209
20,58,221,221
21,58,233,233
22,58,312,312
23,58,163,163
24,58,4,287.5
25,58,575,287.5
26,58,283,283
27,58,339,339
28,58,313,313
29,58,368,368
30,58,301,301
31,58,296,296
32,58,462,452
33,58,-2,596
34,58,1192,596
35,58,786,786
36,58,671,671
37,58,692,692
38,58,841,841
39,58,866,866
40,58,107,540.6666666667
41,58,0,540.6666666667
42,58,1515,540.6666666667
43,58,966,966
44,58,1287,1287
45,58,1664,1664
46,58,2292,2292
47,58,2746,2746
48,58,3,1800
49,58,3600,1800
50,58,1019,1019
51,58,6,246.75
0,59,0,246.75
1,59,987,246.75
2,59,-650,246.75
3,59,896,896
4,59,442,442
5,59,257,257
6,59,291,291
7,59,156,156
8,59,181,181
9,59,170,170
10,59,139,139
11,59,129,129
12,59,132,132
13,59,102,102
14,59,-4,61.5
15,59,124,61.5
16,59,82,82
17,59,48,48
18,59,19,19
19,59,53,53
20,59,0,36
21,59,72,36
22,59,17,17
23,59,24,24
24,59,27,27
25,59,0,31.5
26,59,63,31.5
27,59,50,50
28,59,27,27
29,59,74,74
30,59,115,115
31,59,104,104
32,59,105,105
33,59,183,183
34,59,155,155
35,59,114,114
36,59,159,159
37,59,180,180
38,59,144,144
39,59,130,130
40,59,147,147
41,59,3,140
42,59,280,140
43,59,252,252
44,59,104,104
45,59,156,156
46,59,171,171
47,59,212,212
48,59,223,223
49,59,-3,175.3333333333
50,59,0,175.3333333333
51,59,526,103
0,60,0,103
1,60,63,31.5
2,60,1,24
3,60,48,24
4,60,2,31
5,60,0,31
6,60,3,31
7,60,124,31
8,60,4,62
9,60,120,62
10,60,5,54.5
11,60,104,54.5
12,60,6,6
13,60,25,25
14,60,7,7
15,60,0,21.3333333333
16,60,8,21.3333333333
17,60,56,21.3333333333
18,60,9,21.5
19,60,43,21.5
20,60,10,10
21,60,0,0
22,60,11,11
23,60,79,79
24,60,12,68
25,60,136,68
26,60,13,123
27,60,246,123
28,60,14,108
29,60,216,108
30,60,15,220
31,60,424,220
32,60,16,205
33,60,398,205
34,60,17,132
35,60,264,132
36,60,18,118
37,60,236,118
38,60,19,19
39,60,-3,10
40,60,20,10
41,60,227,113.5
42,60,21,113.5
43,60,172,172
44,60,22,213
45,60,404,213
46,60,23,182
47,60,364,182
48,60,24,140
49,60,264,140
50,60,25,25
51,60,6,6
